+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                | File Name                                 | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
| projecthub.report.dao       | ResourceUtilization.java                  | src      |       19 |        0 |       17 |       84 |      120 |
| projecthub.report.dao       | ResourcesUtilization.java                 | src      |        6 |        0 |       16 |       13 |       35 |
| projecthub.report.dao       | ScheduleGraphicsTheme.java                | src      |        4 |        0 |       17 |       62 |       83 |
| projecthub.report.dao       | TextAlignment.java                        | src      |        2 |        0 |       16 |        5 |       23 |
| projecthub.report.dao       | Users.java                                | src      |        7 |        0 |       26 |       20 |       53 |
| projecthub.report.dao       | WorklogRemaining.java                     | src      |        7 |        0 |       35 |       23 |       65 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.report.gantt     | AbstractGanttRenderer.java                | src      |       41 |       12 |      230 |      525 |      808 |
| projecthub.report.gantt     | GanttChart.java                           | src      |        8 |        0 |       16 |       23 |       47 |
| projecthub.report.gantt     | GanttContext.java                         | src      |       13 |        0 |       43 |       80 |      136 |
| projecthub.report.gantt     | GanttRenderer.java                        | src      |       20 |        6 |       39 |      164 |      229 |
| projecthub.report.gantt     | GanttTest.java                            | src      |       17 |        9 |       22 |      117 |      165 |
| projecthub.report.gantt     | GanttUtil.java                            | src      |       73 |       17 |      215 |      651 |      956 |
| projecthub.report.gantt     | LegacyGanttTest.java                      | src      |       11 |       16 |       30 |      175 |      232 |
| projecthub.report.gantt     | LevelingResourcesException.java           | src      |        2 |        0 |       16 |        6 |       24 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.report.html.dao  | ReportCell.java                           | src      |       22 |        0 |       16 |      112 |      150 |
| projecthub.report.html.dao  | ReportLink.java                           | src      |        8 |        0 |       16 |       20 |       44 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.report.html.util | HtmlUtil.java                             | src      |        9 |        0 |       16 |       31 |       56 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.report           | AbstractCanvas.java                       | src      |       27 |        0 |       26 |      129 |      182 |
| projecthub.report           | AbstractChart.java                        | src      |       11 |        0 |       18 |       46 |       75 |
| projecthub.report           | AbstractRenderer.java                     | src      |       44 |        5 |       55 |      240 |      344 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.repository       | AvailabilityRepository.java               | src      |        3 |        0 |       16 |        5 |       24 |
| projecthub.repository       | FeatureRepository.java                    | src      |        8 |        0 |       16 |       11 |       35 |
| projecthub.repository       | LocationRepository.java                   | src      |        3 |        0 |       16 |        5 |       24 |
| projecthub.repository       | OffDayRepository.java                     | src      |        5 |       13 |       16 |       19 |       53 |
| projecthub.repository       | ProductRepository.java                    | src      |        4 |        0 |       16 |        7 |       27 |
| projecthub.repository       | SprintRepository.java                     | src      |        8 |        0 |       16 |       11 |       35 |
| projecthub.repository       | TaskRepository.java                       | src      |        4 |        0 |       16 |        7 |       27 |
| projecthub.repository       | UserRepository.java                       | src      |        7 |        6 |       16 |       15 |       44 |
| projecthub.repository       | VersionRepository.java                    | src      |        8 |        0 |       16 |       11 |       35 |
| projecthub.repository       | WorklogRepository.java                    | src      |        4 |        0 |       16 |        7 |       27 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.rest.api         | AbstractApi.java                          | src      |       32 |       22 |       42 |      183 |      279 |
| projecthub.rest.api         | AvailabilityApi.java                      | src      |       10 |        0 |       17 |       60 |       87 |
